姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
段正澄,1934年6月15日,男,江苏省镇江市,"(32.20440944359928, 119.45583540512952)",华中科技大学,"(22.53730682931616, 113.93059589017)",机械制造与自动化（加工技术和装备）专家
丁衡高,1931年2月3日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",中国人民解放军总装备部,"(35.24171236301076, 113.23080396515695)",惯性技术和精密仪器专家
陈一坚,1930年6月21日,男,福建省福州市,"(26.04712549657293, 119.33022110712668)",中国航空工业集团公司第一飞机设计院,"(39.967567016682295, 116.461925973644)",飞机设计专家
陈懋章,1936年2月10日,男,四川省成都市,"(30.679942845419564, 104.06792346330406)",北京航空航天大学,"(39.98742228793689, 116.3538179292145)",航空发动机专家
艾兴,1924年8月24日,男,江西省东乡县,"(28.221297983215873, 116.61962270290499)",山东大学机械工程学院,"(39.99794207311073, 116.36193513548068)",切削加工和刀具材料专家
朱英富,1941年7月12日,男,浙江省宁波,"(29.885258965918055, 121.57900597258933)",中国船舶重工集团公司第七_一研究所,"(39.955550103641734, 116.297033674487)",舰船工程专家
朱能鸿,1939年11月10日,男,上海,"(31.24916171001514, 121.48789948569473)",中国科学院上海天文台,"(31.194744079093574, 121.44049980796892)",天文光学望远镜专家
周志成,1963年6月22日,男,北京市,"(39.92998577808024, 116.39564503787867)",中国航天科技集团公司,"(39.92831012347871, 116.3219240259643)",卫星总体技术专家
周济,1946年8月26日,男,上海市,"(31.24916171001514, 121.48789948569473)",清华大学,"(40.00864488780562, 116.33375156995295)",机械工程专家
钟志华,1962年7月8日,男,湖南省湘阴县,"(28.713089704815108, 112.80537361080465)",湖南大学,"(28.184742991251174, 112.95248078590504)",车辆工程专家
张彦仲,1940年3月4日,男,陕西三原县,"(34.70321162970935, 108.98069993821309)",国家大飞机重大专项专家咨询委员会,"(25.046796589566107, 101.55212993973123)",航空系统工程专家
张立同,1938年4月14日,女,辽宁海城,"(41.62160010595761, 122.75359155771858)",西北工业大学,"(34.25023820974599, 108.92427557019644)",航空航天材料专家
张军,1965年7月30日,男,四川省岳池县,"(30.540768629652817, 106.42083298509806)",中山大学,"(23.104288028683726, 113.30461166790117)",航空交通工程技术专家
尤政,1963年12月2日,男,江苏省扬州,"(32.40850525456844, 119.42777755116975)",清华大学,"(40.00864488780562, 116.33375156995295)",机械电子工程专家
尹泽勇,1945年2月14日,男,江苏省宝应县,"(33.22583365836416, 119.4556507838387)",中国航空工业集团公司,"(39.967567016682295, 116.461925973644)",航空发动机专家
杨绍卿,1941年2月15日,男,辽宁省康平县,"(42.765540738312566, 123.27359808775667)",中国兵器工业第二○三研究所,"(31.868605739823824, 118.80462643874714)",外弹道学与灵巧（智能）弹药武器系统工程技术专家
杨华勇,1961年1月12日,男,重庆市,"(29.54460610888615, 106.53063501341296)",浙江大学,"(29.896502974160494, 121.64415166666014)",流体传动与控制领域专家
杨凤田,1941年6月14日,男,辽宁省义县,"(41.534928118312024, 121.30187737887663)",沈阳飞机设计研究所,"(41.858934192833054, 123.38500969220713)",飞机总体设计专家
杨德森,1957年4月6日,男,黑龙江省穆棱县,"(44.57686985532068, 130.39552588753426)",哈尔滨工程大学,"(45.78168250110918, 126.6920999156545)",水声工程专家
夏长亮,1968年4月1日,男,山东省济南市,"(36.68278472716141, 117.02496706629023)",天津大学,"(39.11876347552782, 117.1805305768109)",电机设计与控制专家
吴有生,1942年4月2日,男,浙江省嵊县,"(29.159494120760925, 119.95720242066378)",中国船舶科学研究中心,"(31.486683408113873, 120.2652943679653)",船舶力学与船舶工程专家
吴光辉,1960年2月7日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",中国商用飞机有限责任公司,"(31.31044622082026, 121.43938802464604)",飞机设计专家
王振国,1960年6月15日,男,湖南常德,"(29.012148855180815, 111.65371813684197)",国防科技大学研究生院,"(38.03940903567283, 114.52153765072973)",航空宇航推进领域专家
王玉明,1941年1月1日,男,吉林省四平市,"(43.17552470112557, 124.39138207367984)",清华大学机械工程系,"(40.00335677804062, 116.33742375035226)",机械设计及理论专家
王华明,1962年5月6日,男,四川省泸州市合江县,"(28.751865254096444, 105.93160013108762)",北京航空航天大学,"(39.98742228793689, 116.3538179292145)",金属增材制造专家
田红旗,1959年12月11日,女,河南省鲁山县,"(33.74869738819129, 112.74030934124376)",中南大学,"(28.14519794888072, 113.00013894833069)",轨道交通工程技术专家
唐长红,1959年1月6日,男,陕西省蓝田,"(34.10078693195536, 109.42339003093134)",中航工业第一飞机设计研究院,"(34.65895221862481, 109.24042237452927)",飞行器设计专家
谭建荣,1954年10月10日,男,浙江湖州,"(30.877925155690896, 120.13724316328172)",浙江大学,"(29.896502974160494, 121.64415166666014)",机械工程专家
孙逢春,1958年6月6日,男,湖南省常德市临澧县,"(29.48625687812331, 111.62542246953502)",北京理工大学,"(39.96694634964199, 116.32294862424591)",车辆电动化专家
孙聪,1961年2月1日,男,山东寿光,"(37.029891849505624, 118.8525335212366)",沈阳飞机设计研究所,"(41.858934192833054, 123.38500969220713)",飞行器设计领域专家
邱志明,1961年12月23日,男,山东临沂市,"(35.07240907439113, 118.34076823661057)",海军装备研究院某研究所,"(21.252299510861732, 110.45875594615198)",舰载武器系统与运用工程知名专家
马伟明,1960年4月6日,男,江苏省扬中市,"(32.18946941032324, 119.84513751028743)",海军工程大学,"(30.583761228088562, 114.24824984848172)",电气领域专家
路甬祥,1942年4月28日,男,浙江省慈溪县,"(29.994069361270345, 121.45664202996038)",浙江大学,"(29.896502974160494, 121.64415166666014)",流体传动与控制专家
卢秉恒,1945年2月5日,男,安徽省亳州市,"(33.87121056530193, 115.78792824511814)",西安交通大学机械工程学院,"(34.255350214054246, 108.98724475807205)",机械工程专家
龙乐豪,1938年7月4日,男,武汉市,"(30.58108412692075, 114.31620010268132)",中国运载火箭技术研究院,"(39.8103302208686, 116.41834839991392)",火箭与航天技术专家
刘永才,1942年12月21日,男,吉林省长春市,"(43.89833760709784, 125.31364242720072)",中国航天科工集团公司,"(39.9291319087957, 116.32240718676927)",飞航技术专家
刘怡昕,1941年3月29日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",南京炮兵学院,"(32.05723550180587, 118.77807440802562)",武器系统与运用工程专家
刘人怀,1940年7月20日,男,四川省成都市,"(30.679942845419564, 104.06792346330406)",暨南大学,"(22.54534682797825, 113.99203327489343)",板壳结构分析与应用专家
林忠钦,1957年12月6日,男,浙江镇海,"(29.159494120760925, 119.95720242066378)",上海交通大学,"(31.204432923436023, 121.44134875518435)",机械工程专家
李钊,1940年2月3日,男,河北省无极县,"(38.18328602020015, 114.95113960112629)",西安工程兵工程学院,"(42.98636494637781, 125.15014857862096)",地雷爆破专家
李培根,1948年12月27日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",华中科技大学,"(22.53730682931616, 113.93059589017)",机械制造及自动化专家
李魁武,1943年9月25日,男,河北省井陉县,"(38.00089081581098, 114.07795206334612)",中国兵器工业集团第二○二研究所,"(39.1612261345729, 112.71482787933233)",火炮自动武器及弹药（战斗部）工程专家
杜善义,1938年8月20日,男,辽宁省大连市,"(38.94870993830429, 121.59347778143518)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",力学和复合材料专家
冯培德,1941年4月7日,男,广东恩平,"(22.24098520871111, 112.28646122262668)",中国航空工业集团公司,"(39.967567016682295, 116.461925973644)",飞行器导航控制专家
董春鹏,1942年8月10日,男,河北省秦皇岛市,"(39.945461565897574, 119.6043676161184)",中国船舶重工集团公司第七0五研究所,"(34.24074448944164, 108.91008942807434)",水中兵器专家
邓宗全,1956年10月2日,男,黑龙江省双鸭山市宝清县,"(46.40938321271702, 132.40927864827174)",宇航空间机构及控制技术国防重点学科实验室,"(24.383504405224585, 109.40882433110133)",宇航空间机构学专家
樊会涛,1962年10月18日,男,河南省汝阳县,"(34.06296675027969, 112.43554395910373)",中国空空导弹研究院,"(21.252299510861732, 110.45875594615198)",空空导弹专家
丁荣军,1961年11月12日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",株洲电力机车研究所,"(27.883963617038837, 113.13964309906764)",电力电子及控制技术专家
