姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
马克俭,1933年10月22日,男,湖南省岳阳市,"(29.378007075474304, 113.14619551911636)",湖南大学,"(28.184742991251174, 112.95248078590504)",结构工程专家
沈世钊,1933年12月18日,男,浙江嘉兴,"(30.77399223958183, 120.76042769895746)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",沈世钊，结构工程专家
沙庆林,1930年5月7日,男,江苏宜兴,"(31.362244911878832, 119.79026529658498)",交通部公路科学研究院,"(39.971963877653835, 116.3617239438553)",公路工程专家
孙伟,1935年11月16日,女,山东省胶州市,"(36.24803145848278, 119.95942122689219)",东南大学纤维与纤维混凝土技术研究所,"(31.299842214137847, 121.50477289707193)",土木工程材料专家
容柏生,1930年8月27日,男,广东省珠海市,"(22.25691464612574, 113.56244702618993)",广东省建筑设计研究院,"(23.14581895410286, 113.25915027476894)",建筑结构专家
张祖勋,1937年6月5日,男,江苏无锡,"(31.57003745192303, 120.30545590053595)",武汉大学遥感信息工程学院,"(30.53221645336504, 114.36660145299751)",摄影测量与遥感专家
张锦秋,1936年10月7日,女,四川荣县,"(30.36748093795755, 102.89915972360397)",清华大学建筑系,"(40.00739713580818, 116.33195293145745)",建筑学家
施仲衡,1930年11月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",北京城建设计发展集团股份有限公司,"(39.91536700628169, 116.35498717714087)",地下铁道专家
张杰,1938年2月27日,男,辽宁省本溪市,"(41.32583762664885, 123.77806236979248)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",给水排水工程专家
贺泓,1965年1月15日,男,河北省邯郸市,"(36.60930792847117, 114.4826939323422)",中国科学院生态环境研究中心,"(40.01372448731036, 116.34993266805328)",大气污染防治（环境催化）专家
郝吉明,1946年8月25日,男,山东省梁山县,"(35.80160624971607, 116.12480570072432)",清华大学,"(40.00864488780562, 116.33375156995295)",大气污染防治专家
方国洪,1939年12月25日,男,浙江省瑞安市,"(27.829230528329532, 120.46834036334504)",国家海洋局第一海洋研究所,"(36.108795623042575, 120.46583867459216)",物理海洋学家
段宁,1949年7月20日,男,四川省成都市,"(30.679942845419564, 104.06792346330406)",中国环境科学研究院重金属清洁生产工程技术中心,"(40.049420468081, 116.42224088704465)",清洁生产专家
魏复盛,1938年11月9日,男,四川省简阳县,"(30.372507500460436, 104.55059629795709)",中国环境监测总站,"(40.04780540344806, 116.42492209902572)",环境保护专家
王琪,1949年7月22日,女,四川省自贡市,"(29.359156889475667, 104.77607133936438)",高分子材料工程国家重点实验室,"(30.633194229223292, 104.08403816584755)",轻工装备（塑料加工装备）专家
孙宝国,1961年2月28日,男,山东省招远市,"(37.34414587052448, 120.40051706224612)",北京工商大学,"(39.93313542922429, 116.3240603707383)",香料和食品添加剂专家
孙晋良,1946年1月2日,男,上海市,"(31.24916171001514, 121.48789948569473)",上海大学,"(31.28199334935853, 121.46473164760907)",产业用纺织材料及复合材料专家
张全兴,1938年12月10日,男,江苏常州,"(31.771396744684242, 119.98186101345706)",南京大学,"(32.06150696330109, 118.78614651935519)",环境工程和高分子材料专家
岳国君,1963年4月3日,男,吉林长春市,"(43.89833760709784, 125.31364242720072)",中粮集团,"(39.913701381808146, 116.43639091818355)",生物与发酵专家
任阵海,1932年11月7日,男,河南省新乡,"(35.29669781359802, 113.89290102942226)",北京大学,"(39.9990063940118, 116.31515020145268)",大气环境科学专家
钱易,1935年12月27日,女,江苏苏州,"(31.317987367952437, 120.61990711548988)",清华大学,"(40.00864488780562, 116.33375156995295)",环境工程专家
伦世仪,1928年11月9日,男,山东诸城,"(35.93086442811304, 119.33779186281039)",食品科学与技术国家重点实验室,"(28.690235173045807, 115.94447355852883)",发酵工程和环境生物技术专家
刘鸿亮,1932年6月20日,男,辽宁大连,"(38.94870993830429, 121.59347778143518)",中国环境科学研究院,"(40.049420468081, 116.42224088704465)",中国环境工程专家
李泽椿,1935年6月1日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",南京信息工程大学,"(32.025009241754084, 118.75284891133882)",天气动力和数值预报专家
金翔龙,1934年11月29日,男,江苏省南京市,"(32.05723550180587, 118.77807440802562)",国家海洋局第二海洋研究所,"(30.28619588871584, 120.14618949744886)",海底科学（海洋地质-地球物理学）专家
